first,second,result
a,a,A
a,A,A
a,i,e
a,I,e
a,u,o
a,U,o
a,f,ar
a,F,ar
a,x,al
a,X,al
a,e,E
a,E,E
a,o,O
a,O,O
A,a,A
A,A,A
A,i,e
A,I,e
A,u,o
A,U,o
A,f,ar
A,F,ar
A,x,al
A,X,al
A,e,E
A,E,E
A,o,O
A,O,O
i,a,y a
i,A,y A
i,i,I
i,I,I
i,u,y u
i,U,y U
i,f,y f
i,F,y F
i,x,y x
i,X,y X
i,e,y e
i,E,y E
i,o,y o
i,O,y O
I,a,y a
I,A,y A
I,i,I
I,I,I
I,u,y u
I,U,y U
I,f,y f
I,F,y F
I,x,y x
I,X,y X
I,e,y e
I,E,y E
I,o,y o
I,O,y O
u,a,v a
u,A,v A
u,i,v i
u,I,v I
u,u,U
u,U,U
u,f,v f
u,F,v F
u,x,v x
u,X,v X
u,e,v e
u,E,v E
u,o,v o
u,O,v O
U,a,v a
U,A,v A
U,i,v i
U,I,v I
U,u,U
U,U,U
U,f,v f
U,F,v F
U,x,v x
U,X,v X
U,e,v e
U,E,v E
U,o,v o
U,O,v O
f,a,r a
f,A,r A
f,i,r i
f,I,r I
f,u,r u
f,U,r U
f,f,F
f,F,F
f,x,r x
f,X,r X
f,e,r e
f,E,r E
f,o,r o
f,O,r O
F,a,r a
F,A,r A
F,i,r i
F,I,r I
F,u,r u
F,U,r U
F,f,F
F,F,F
F,x,r x
F,X,r X
F,e,r e
F,E,r E
F,o,r o
F,O,r O
e,a,e '
e,A,a A
e,i,a i
e,I,a I
e,u,a u
e,U,a U
e,f,a f
e,F,a F
e,x,a x
e,X,a X
e,e,a e
e,E,a E
e,o,a o
e,O,a O
E,a,A a
E,A,A A
E,i,A i
E,I,A I
E,u,A u
E,U,A U
E,f,A f
E,F,A F
E,x,A x
E,X,A X
E,e,A e
E,E,A E
E,o,A o
E,O,A O
O,a,Av a
O,A,Av A
O,i,Av i
O,I,Av I
O,u,Av u
O,U,Av U
O,f,Av f
O,F,Av F
O,x,Av x
O,X,Av X
O,e,Av e
O,E,Av E
O,o,Av o
O,O,Av O
a,C,a cC
i,C,i cC
u,C,u cC
f,C,f cC
x,C,x cC
as,a,o '
as,A,a A
as,i,a i
as,I,a I
as,u,a u
as,U,a U
as,f,a f
as,F,a F
as,x,a x
as,X,a X
as,e,a e
as,E,a E
as,o,a o
as,O,a O
as,k,aH k
as,K,aH K
as,g,o g
as,G,o G
as,N,o N
as,c,aS c
as,C,aS C
as,j,o j
as,J,o J
as,Y,o Y
as,w,az w
as,W,az W
as,q,o q
as,Q,o Q
as,R,o R
as,t,as t
as,T,as T
as,d,o d
as,D,o D
as,n,o n
as,p,aH p
as,P,aH P
as,b,o b
as,B,o B
as,m,o m
as,y,o y
as,r,o r
as,l,o l
as,v,o v
as,S,aH S
as,z,aH z
as,s,aH s
as,h,o h
As,a,A a
As,A,A A
As,i,A i
As,I,A I
As,u,A u
As,U,A U
As,f,A f
As,F,A F
As,x,A x
As,X,A X
As,e,A e
As,E,A E
As,o,A o
As,O,A O
As,k,AH k
As,K,AH K
As,g,A g
As,G,A G
As,N,A N
As,c,AS c
As,C,AS C
As,j,A j
As,J,A J
As,Y,A Y
As,w,Az w
As,W,Az W
As,q,A q
As,Q,A Q
As,R,A R
As,t,As t
As,T,As T
As,d,A d
As,D,A D
As,n,A n
As,p,AH p
As,P,AH P
As,b,A b
As,B,A B
As,m,A m
As,y,A y
As,r,A r
As,l,A l
As,v,A v
As,S,AH S
As,z,AH z
As,s,AH s
As,h,A h
ar,a,ar a
ar,A,ar A
ar,i,ar i
ar,I,ar I
ar,u,ar u
ar,U,ar U
ar,f,ar f
ar,F,ar F
ar,x,ar x
ar,X,ar X
ar,e,ar e
ar,E,ar E
ar,o,ar o
ar,O,ar O
ar,k,aH k
ar,K,aH K
ar,g,ar g
ar,G,ar G
ar,N,ar N
ar,c,aS c
ar,C,aS C
ar,j,ar j
ar,J,ar J
ar,Y,ar Y
ar,w,az w
ar,W,az W
ar,q,ar q
ar,Q,ar Q
ar,R,ar R
ar,t,as t
ar,T,as T
ar,d,ar d
ar,D,ar D
ar,n,ar n
ar,p,aH p
ar,P,aH P
ar,b,ar b
ar,B,ar B
ar,m,ar m
ar,y,ar y
ar,r,A r
ar,l,ar l
ar,v,ar v
ar,S,aH S
ar,z,aH z
ar,s,aH s
ar,h,ar h
Ar,a,Ar a
Ar,A,Ar A
Ar,i,Ar i
Ar,I,Ar I
Ar,u,Ar u
Ar,U,Ar U
Ar,f,Ar f
Ar,F,Ar F
Ar,x,Ar x
Ar,X,Ar X
Ar,e,Ar e
Ar,E,Ar E
Ar,o,Ar o
Ar,O,Ar O
Ar,k,AH k
Ar,K,AH K
Ar,g,Ar g
Ar,G,Ar G
Ar,N,Ar N
Ar,c,AS c
Ar,C,AS C
Ar,j,Ar j
Ar,J,Ar J
Ar,Y,Ar Y
Ar,w,Az w
Ar,W,Az W
Ar,q,Ar q
Ar,Q,Ar Q
Ar,R,Ar R
Ar,t,As t
Ar,T,As T
Ar,d,Ar d
Ar,D,Ar D
Ar,n,Ar n
Ar,p,AH p
Ar,P,AH P
Ar,b,Ar b
Ar,B,Ar B
Ar,m,Ar m
Ar,y,Ar y
Ar,r,A r
Ar,l,Ar l
Ar,v,Ar v
Ar,S,AH S
Ar,z,AH z
Ar,s,AH s
Ar,h,Ar h
ir,a,ir a
ir,A,ir A
ir,i,ir i
ir,I,ir I
ir,u,ir u
ir,U,ir U
ir,f,ir f
ir,F,ir F
ir,x,ir x
ir,X,ir X
ir,e,ir e
ir,E,ir E
ir,o,ir o
ir,O,ir O
ir,k,iH k
ir,K,iH K
ir,g,ir g
ir,G,ir G
ir,N,ir N
ir,c,iS c
ir,C,iS C
ir,j,ir j
ir,J,ir J
ir,Y,ir Y
ir,w,iz w
ir,W,iz W
ir,q,ir q
ir,Q,ir Q
ir,R,ir R
ir,t,is t
ir,T,is T
ir,d,ir d
ir,D,ir D
ir,n,ir n
ir,p,iH p
ir,P,iH P
ir,b,ir b
ir,B,ir B
ir,m,ir m
ir,y,ir y
ir,r,I r
ir,l,ir l
ir,v,ir v
ir,S,iH S
ir,z,iH z
ir,s,iH s
ir,h,ir h
is,a,ir a
is,A,ir A
is,i,ir i
is,I,ir I
is,u,ir u
is,U,ir U
is,f,ir f
is,F,ir F
is,x,ir x
is,X,ir X
is,e,ir e
is,E,ir E
is,o,ir o
is,O,ir O
is,k,iH k
is,K,iH K
is,g,ir g
is,G,ir G
is,N,ir N
is,c,iS c
is,C,iS C
is,j,ir j
is,J,ir J
is,Y,ir Y
is,w,iz w
is,W,iz W
is,q,ir q
is,Q,ir Q
is,R,ir R
is,t,is t
is,T,is T
is,d,ir d
is,D,ir D
is,n,ir n
is,p,iH p
is,P,iH P
is,b,ir b
is,B,ir B
is,m,ir m
is,y,ir y
is,r,I r
is,l,ir l
is,v,ir v
is,S,iH S
is,z,iH z
is,s,iH s
is,h,ir h
Ir,a,Ir a
Ir,A,Ir A
Ir,i,Ir i
Ir,I,Ir I
Ir,u,Ir u
Ir,U,Ir U
Ir,f,Ir f
Ir,F,Ir F
Ir,x,Ir x
Ir,X,Ir X
Ir,e,Ir e
Ir,E,Ir E
Ir,o,Ir o
Ir,O,Ir O
Ir,k,IH k
Ir,K,IH K
Ir,g,Ir g
Ir,G,Ir G
Ir,N,Ir N
Ir,c,IS c
Ir,C,IS C
Ir,j,Ir j
Ir,J,Ir J
Ir,Y,Ir Y
Ir,w,Iz w
Ir,W,Iz W
Ir,q,Ir q
Ir,Q,Ir Q
Ir,R,Ir R
Ir,t,Is t
Ir,T,Is T
Ir,d,Ir d
Ir,D,Ir D
Ir,n,Ir n
Ir,p,IH p
Ir,P,IH P
Ir,b,Ir b
Ir,B,Ir B
Ir,m,Ir m
Ir,y,Ir y
Ir,r,I r
Ir,l,Ir l
Ir,v,Ir v
Ir,S,IH S
Ir,z,IH z
Ir,s,IH s
Ir,h,Ir h
Is,a,Ir a
Is,A,Ir A
Is,i,Ir i
Is,I,Ir I
Is,u,Ir u
Is,U,Ir U
Is,f,Ir f
Is,F,Ir F
Is,x,Ir x
Is,X,Ir X
Is,e,Ir e
Is,E,Ir E
Is,o,Ir o
Is,O,Ir O
Is,k,IH k
Is,K,IH K
Is,g,Ir g
Is,G,Ir G
Is,N,Ir N
Is,c,IS c
Is,C,IS C
Is,j,Ir j
Is,J,Ir J
Is,Y,Ir Y
Is,w,Iz w
Is,W,Iz W
Is,q,Ir q
Is,Q,Ir Q
Is,R,Ir R
Is,t,Is t
Is,T,Is T
Is,d,Ir d
Is,D,Ir D
Is,n,Ir n
Is,p,IH p
Is,P,IH P
Is,b,Ir b
Is,B,Ir B
Is,m,Ir m
Is,y,Ir y
Is,r,I r
Is,l,Ir l
Is,v,Ir v
Is,S,IH S
Is,z,IH z
Is,s,IH s
Is,h,Ir h
ur,a,ur a
ur,A,ur A
ur,i,ur i
ur,I,ur I
ur,u,ur u
ur,U,ur U
ur,f,ur f
ur,F,ur F
ur,x,ur x
ur,X,ur X
ur,e,ur e
ur,E,ur E
ur,o,ur o
ur,O,ur O
ur,k,uH k
ur,K,uH K
ur,g,ur g
ur,G,ur G
ur,N,ur N
ur,c,uS c
ur,C,uS C
ur,j,ur j
ur,J,ur J
ur,Y,ur Y
ur,w,uz w
ur,W,uz W
ur,q,ur q
ur,Q,ur Q
ur,R,ur R
ur,t,us t
ur,T,us T
ur,d,ur d
ur,D,ur D
ur,n,ur n
ur,p,uH p
ur,P,uH P
ur,b,ur b
ur,B,ur B
ur,m,ur m
ur,y,ur y
ur,r,U r
ur,l,ur l
ur,v,ur v
ur,S,uH S
ur,z,uH z
ur,s,uH s
ur,h,ur h
us,a,ur a
us,A,ur A
us,i,ur i
us,I,ur I
us,u,ur u
us,U,ur U
us,f,ur f
us,F,ur F
us,x,ur x
us,X,ur X
us,e,ur e
us,E,ur E
us,o,ur o
us,O,ur O
us,k,uH k
us,K,uH K
us,g,ur g
us,G,ur G
us,N,ur N
us,c,uS c
us,C,uS C
us,j,ur j
us,J,ur J
us,Y,ur Y
us,w,uz w
us,W,uz W
us,q,ur q
us,Q,ur Q
us,R,ur R
us,t,us t
us,T,us T
us,d,ur d
us,D,ur D
us,n,ur n
us,p,uH p
us,P,uH P
us,b,ur b
us,B,ur B
us,m,ur m
us,y,ur y
us,r,U r
us,l,ur l
us,v,ur v
us,S,uH S
us,z,uH z
us,s,uH s
us,h,ur h
Ur,a,Ur a
Ur,A,Ur A
Ur,i,Ur i
Ur,I,Ur I
Ur,u,Ur u
Ur,U,Ur U
Ur,f,Ur f
Ur,F,Ur F
Ur,x,Ur x
Ur,X,Ur X
Ur,e,Ur e
Ur,E,Ur E
Ur,o,Ur o
Ur,O,Ur O
Ur,k,UH k
Ur,K,UH K
Ur,g,Ur g
Ur,G,Ur G
Ur,N,Ur N
Ur,c,US c
Ur,C,US C
Ur,j,Ur j
Ur,J,Ur J
Ur,Y,Ur Y
Ur,w,Uz w
Ur,W,Uz W
Ur,q,Ur q
Ur,Q,Ur Q
Ur,R,Ur R
Ur,t,Us t
Ur,T,Us T
Ur,d,Ur d
Ur,D,Ur D
Ur,n,Ur n
Ur,p,UH p
Ur,P,UH P
Ur,b,Ur b
Ur,B,Ur B
Ur,m,Ur m
Ur,y,Ur y
Ur,r,U r
Ur,l,Ur l
Ur,v,Ur v
Ur,S,UH S
Ur,z,UH z
Ur,s,UH s
Ur,h,Ur h
Us,a,Ur a
Us,A,Ur A
Us,i,Ur i
Us,I,Ur I
Us,u,Ur u
Us,U,Ur U
Us,f,Ur f
Us,F,Ur F
Us,x,Ur x
Us,X,Ur X
Us,e,Ur e
Us,E,Ur E
Us,o,Ur o
Us,O,Ur O
Us,k,UH k
Us,K,UH K
Us,g,Ur g
Us,G,Ur G
Us,N,Ur N
Us,c,US c
Us,C,US C
Us,j,Ur j
Us,J,Ur J
Us,Y,Ur Y
Us,w,Uz w
Us,W,Uz W
Us,q,Ur q
Us,Q,Ur Q
Us,R,Ur R
Us,t,Us t
Us,T,Us T
Us,d,Ur d
Us,D,Ur D
Us,n,Ur n
Us,p,UH p
Us,P,UH P
Us,b,Ur b
Us,B,Ur B
Us,m,Ur m
Us,y,Ur y
Us,r,U r
Us,l,Ur l
Us,v,Ur v
Us,S,UH S
Us,z,UH z
Us,s,UH s
Us,h,Ur h
fr,a,fr a
fr,A,fr A
fr,i,fr i
fr,I,fr I
fr,u,fr u
fr,U,fr U
fr,f,fr f
fr,F,fr F
fr,x,fr x
fr,X,fr X
fr,e,fr e
fr,E,fr E
fr,o,fr o
fr,O,fr O
fr,k,fH k
fr,K,fH K
fr,g,fr g
fr,G,fr G
fr,N,fr N
fr,c,fS c
fr,C,fS C
fr,j,fr j
fr,J,fr J
fr,Y,fr Y
fr,w,fz w
fr,W,fz W
fr,q,fr q
fr,Q,fr Q
fr,R,fr R
fr,t,fs t
fr,T,fs T
fr,d,fr d
fr,D,fr D
fr,n,fr n
fr,p,fH p
fr,P,fH P
fr,b,fr b
fr,B,fr B
fr,m,fr m
fr,y,fr y
fr,r,F r
fr,l,fr l
fr,v,fr v
fr,S,fH S
fr,z,fH z
fr,s,fH s
fr,h,fr h
fs,a,fr a
fs,A,fr A
fs,i,fr i
fs,I,fr I
fs,u,fr u
fs,U,fr U
fs,f,fr f
fs,F,fr F
fs,x,fr x
fs,X,fr X
fs,e,fr e
fs,E,fr E
fs,o,fr o
fs,O,fr O
fs,k,fH k
fs,K,fH K
fs,g,fr g
fs,G,fr G
fs,N,fr N
fs,c,fS c
fs,C,fS C
fs,j,fr j
fs,J,fr J
fs,Y,fr Y
fs,w,fz w
fs,W,fz W
fs,q,fr q
fs,Q,fr Q
fs,R,fr R
fs,t,fs t
fs,T,fs T
fs,d,fr d
fs,D,fr D
fs,n,fr n
fs,p,fH p
fs,P,fH P
fs,b,fr b
fs,B,fr B
fs,m,fr m
fs,y,fr y
fs,r,F r
fs,l,fr l
fs,v,fr v
fs,S,fH S
fs,z,fH z
fs,s,fH s
fs,h,fr h
Fr,a,Fr a
Fr,A,Fr A
Fr,i,Fr i
Fr,I,Fr I
Fr,u,Fr u
Fr,U,Fr U
Fr,f,Fr f
Fr,F,Fr F
Fr,x,Fr x
Fr,X,Fr X
Fr,e,Fr e
Fr,E,Fr E
Fr,o,Fr o
Fr,O,Fr O
Fr,k,FH k
Fr,K,FH K
Fr,g,Fr g
Fr,G,Fr G
Fr,N,Fr N
Fr,c,FS c
Fr,C,FS C
Fr,j,Fr j
Fr,J,Fr J
Fr,Y,Fr Y
Fr,w,Fz w
Fr,W,Fz W
Fr,q,Fr q
Fr,Q,Fr Q
Fr,R,Fr R
Fr,t,Fs t
Fr,T,Fs T
Fr,d,Fr d
Fr,D,Fr D
Fr,n,Fr n
Fr,p,FH p
Fr,P,FH P
Fr,b,Fr b
Fr,B,Fr B
Fr,m,Fr m
Fr,y,Fr y
Fr,r,F r
Fr,l,Fr l
Fr,v,Fr v
Fr,S,FH S
Fr,z,FH z
Fr,s,FH s
Fr,h,Fr h
Fs,a,Fr a
Fs,A,Fr A
Fs,i,Fr i
Fs,I,Fr I
Fs,u,Fr u
Fs,U,Fr U
Fs,f,Fr f
Fs,F,Fr F
Fs,x,Fr x
Fs,X,Fr X
Fs,e,Fr e
Fs,E,Fr E
Fs,o,Fr o
Fs,O,Fr O
Fs,k,FH k
Fs,K,FH K
Fs,g,Fr g
Fs,G,Fr G
Fs,N,Fr N
Fs,c,FS c
Fs,C,FS C
Fs,j,Fr j
Fs,J,Fr J
Fs,Y,Fr Y
Fs,w,Fz w
Fs,W,Fz W
Fs,q,Fr q
Fs,Q,Fr Q
Fs,R,Fr R
Fs,t,Fs t
Fs,T,Fs T
Fs,d,Fr d
Fs,D,Fr D
Fs,n,Fr n
Fs,p,FH p
Fs,P,FH P
Fs,b,Fr b
Fs,B,Fr B
Fs,m,Fr m
Fs,y,Fr y
Fs,r,F r
Fs,l,Fr l
Fs,v,Fr v
Fs,S,FH S
Fs,z,FH z
Fs,s,FH s
Fs,h,Fr h
er,a,er a
er,A,er A
er,i,er i
er,I,er I
er,u,er u
er,U,er U
er,f,er f
er,F,er F
er,x,er x
er,X,er X
er,e,er e
er,E,er E
er,o,er o
er,O,er O
er,k,eH k
er,K,eH K
er,g,er g
er,G,er G
er,N,er N
er,c,eS c
er,C,eS C
er,j,er j
er,J,er J
er,Y,er Y
er,w,ez w
er,W,ez W
er,q,er q
er,Q,er Q
er,R,er R
er,t,es t
er,T,es T
er,d,er d
er,D,er D
er,n,er n
er,p,eH p
er,P,eH P
er,b,er b
er,B,er B
er,m,er m
er,y,er y
er,r,e r
er,l,er l
er,v,er v
er,S,eH S
er,z,eH z
er,s,eH s
er,h,er h
es,a,er a
es,A,er A
es,i,er i
es,I,er I
es,u,er u
es,U,er U
es,f,er f
es,F,er F
es,x,er x
es,X,er X
es,e,er e
es,E,er E
es,o,er o
es,O,er O
es,k,eH k
es,K,eH K
es,g,er g
es,G,er G
es,N,er N
es,c,eS c
es,C,eS C
es,j,er j
es,J,er J
es,Y,er Y
es,w,ez w
es,W,ez W
es,q,er q
es,Q,er Q
es,R,er R
es,t,es t
es,T,es T
es,d,er d
es,D,er D
es,n,er n
es,p,eH p
es,P,eH P
es,b,er b
es,B,er B
es,m,er m
es,y,er y
es,r,e r
es,l,er l
es,v,er v
es,S,eH S
es,z,eH z
es,s,eH s
es,h,er h
Er,a,Er a
Er,A,Er A
Er,i,Er i
Er,I,Er I
Er,u,Er u
Er,U,Er U
Er,f,Er f
Er,F,Er F
Er,x,Er x
Er,X,Er X
Er,e,Er e
Er,E,Er E
Er,o,Er o
Er,O,Er O
Er,k,EH k
Er,K,EH K
Er,g,Er g
Er,G,Er G
Er,N,Er N
Er,c,ES c
Er,C,ES C
Er,j,Er j
Er,J,Er J
Er,Y,Er Y
Er,w,Ez w
Er,W,Ez W
Er,q,Er q
Er,Q,Er Q
Er,R,Er R
Er,t,Es t
Er,T,Es T
Er,d,Er d
Er,D,Er D
Er,n,Er n
Er,p,EH p
Er,P,EH P
Er,b,Er b
Er,B,Er B
Er,m,Er m
Er,y,Er y
Er,r,E r
Er,l,Er l
Er,v,Er v
Er,S,EH S
Er,z,EH z
Er,s,EH s
Er,h,Er h
Es,a,Er a
Es,A,Er A
Es,i,Er i
Es,I,Er I
Es,u,Er u
Es,U,Er U
Es,f,Er f
Es,F,Er F
Es,x,Er x
Es,X,Er X
Es,e,Er e
Es,E,Er E
Es,o,Er o
Es,O,Er O
Es,k,EH k
Es,K,EH K
Es,g,Er g
Es,G,Er G
Es,N,Er N
Es,c,ES c
Es,C,ES C
Es,j,Er j
Es,J,Er J
Es,Y,Er Y
Es,w,Ez w
Es,W,Ez W
Es,q,Er q
Es,Q,Er Q
Es,R,Er R
Es,t,Es t
Es,T,Es T
Es,d,Er d
Es,D,Er D
Es,n,Er n
Es,p,EH p
Es,P,EH P
Es,b,Er b
Es,B,Er B
Es,m,Er m
Es,y,Er y
